index,title,twi,english
44,Kakyerε Yesu Sε ,"﻿Kakyerε Yesu sε, W’ahendze fata Wo , N’ahendze fata No , W’ahendze firi soro, N’ahendze firi soro, W’ahendze fata Wo , N’ahendze fata No , Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Tell Jesus), (You deserve Your kingship), (He deserves His kingship), (Your kingship is divine), (His kingship is divine), (You deserve Your kingship), (He deserves His kingship)"
45,Kotodwe Nyina ,"﻿Kotodwe nyina beyi Nyame N’ayε , Tԑkyerԑma so bԑda Nyame n’ase, M’eyi N’ayε, M’eyi me Nyame N’ayε , Mԑda n’ase, mԑda me Nyame n’ase, Na y’aka sԑ Onyame kokroko, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Every knee will praise God), (Every tongue will thank God), (I will praise Him, I will praise my God), (I will thank Him, I will thank my God), (We will declare You are the Great God)"
46,Kristofo Gyidifom Mo Nsom No (Nyankopon Wo Yen Mu) ,"﻿Nyankopɔn wɔ yεn mu, moma yεn koto No, Na yεnfa suro nsom No, Ɔwɔ yεn dεm ha, monnyε kom wɔ mumu, Na monyi mo yamu nsom No , Kristofo, gyidifo mo nsom No nokware mu, Monyi N’ayε yie, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(God is among us, let us kneel before Him), (Let worship Him in reverence), (He is in this place, be quiet in yourselves), (And praise Him from within you), (Christians, Believers, worship Him in truth), (Praise Him appropriately)"
47,Krɔnkrɔn Ne Yehowa ,"﻿Krɔnkrɔn ne Yehowa , Bεgye w’ayeyi , W’abɔde nyinaa ka sε Wo sε ayeyi , Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Holy is Jehovah), (Come and take Your Praise), (All creation says that You are worthy to be praised)"
48,Kunim Kunim Kunim ,"﻿Ɔɔε, (Victory, victory, victory; Victory is in the blood), (We triumph over the enemy in the blood)","; Kunim wɔ mogya ni mu, Yedi ɔtamfo ne so, wɔ mogya ni mu, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"
49,Kunimdi Wo Ho Ma Won A ,"﻿Kunimdi wɔ hɔ ma wɔn a wɔ twεn Jesus, Na ne mogya ayε wɔn akokyεm, Na n’asεm no yε, agyapade kεse ma wɔn, Na n’adom so eburuso ama wonyinaa, Momma yento, ayeyi ndwom ma No, Na hendze, enyuonyam sε No, Yεbεto, Yεbεto, Halleluyah ndwom na yεbεto, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(There is victory for those who wait on the Lord), (And His blood is a seal for them), (And His Word is a great inheritance for them), (And His grace abounds to them), (Let us sing songs of praises to Him), (His kingship is worthy of glory), (We will sing), (We will sing songs of praise)"
50,"Kyerεw, Kyerεw, Fa Wo Mogya Kyerεw ","﻿Kyerεw w’asεm no, wɔ m’akoma mu, Kyerεw, Kyerεw, fa wo mogya kyerεw, Na ma mewerεnfi, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Write Your word upon my heart), (Write, write, write with Your blood), (That I may never forget)"
51,M'akoma Ahyε Ma ,"﻿M’akoma ahyε ma, ahyε ma, eburu do, M’akɔtɔ ɔbonsam asɔkyer’ mu, Afei me hunu Jesus Otum Ɔgye me nkwa, M’akoma ahyε ma, ahyε ma, eburu do , Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"," (My heart is glad and overjoyed), (I have fallen into the devil’s trap), (And now I  have seen the saving power of Jesus), (My heart is glad and overjoyed)"
52,Ma W'adom No Bra Yen So ,"﻿Ma W’adom no mbra yεn so, Yεserε Wo, Ewurade, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Let Your grace come upon us), (We ask this of You, Lord)"
53,Me Hia Wo O Me Hia Wo(I Need Thee Every Hour Twi) ,"﻿VERSE 1, (I need thee every hour, Most gracious Lord), (No tender voice like Thine, can peace afford), Mehia Wo Ao, Mehia Wo, Mber nyinaa mehia Wo, M’Agyenkwa maba Wo hɔ, hyira me seesei, VERSE 2, (I need thee every hour, in joy in pain), (Come quickly and abide) , (Or life is vain), Mehia Wo Ao, Mehia Wo, Mber nyinaa mehia Wo, M’Agyenkwa maba Wo hɔ, hyira me seesei, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","Mehia Wo mber nyinaa, Domfo Ewurade, Biribi nntse dε Wo ndze a, ɔma asomdwee, CHORUS, (I need Thee O, I need  Thee), (Every hour I need thee), (O bless me now my Savior, I come to thee), Mehia Wo mber nyinaa, ɔdεw mu, ɔyaw mu, Nyame bra ntsεm, n’εnye me ntsena, Mma ɔbra nnyε gyan, CHORUS, (I need Thee O, I need  Thee), (Every hour I need thee), (O bless me now my Savior, I come to thee)"
54,Me Kra Yi N'ayε ,"﻿Me kra yi N’ayε, Me kra da N’ase, Me kra tuntum No, Me kra pegya No, Me kra sɔre No, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(My soul praise the Lord), (My soul give thanks to the Lord), (My soul glorify the Lord), (My soul laud the Lord), (My soul lift the Lord)"
55,Me Nyame Kae Me Ndε ,"﻿Me Nyame kae me ndε, Kae me ma ensi me yie,  Menni Ɔgyefo bi tse sε Wo, Mekoto meserε Wo, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Lord remember me today), (Remember me and let it be well with me), (I have no Savior like You), (I bow before You with my plea)"
56,Me Se Den Me Kamfo Wo ,"﻿Me se dεn me kamfo Wo, Me Nyame, me se dεn me kamfo Wo, M’Agyenkwa, me se dεn me kamfo Wo, Nyame ayebi ama me o, Me se dεn me kamfo Wo, Mebɔ Wo din akyerε aman, Mebɔ Wo din akyerε aman, M’Agyenkwa, mebɔ Wo din akyerε aman, Nyame ayebi ama me o, Mebɔ Wo din akyerε aman, Nyame ayebi ama me o, Mebɔ Wo din akyerε aman, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(How shall I thank You), (My God, how shall I thank You), (My Savior, how shall I thank You), (The Lord has done so much for me), (How shall I thank You), (I will praise Your name to the nations), (I will praise Your name to the nations), (My Savior, I will praise Your name to the nations), (The Lord has done so much for me), (I will praise Your name to the nations), (The Lord has done so much for me), (I will praise Your name to the nations)"
57,"Me Wɔ Barima Bi A, Ne Din De Jesus ","﻿Me wɔ Ɔbarima bi a, Ne din de Jesus, Ɔsombo ma me, Me bɔ Ne din daa daa, Ama amansan nyinaa ehunu sε, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I have a Man, His Name is Jesus), (He’s so dear to me), (I will always make mention of Him), (For the whole world to know that)"
58,"Me Wɔ Barima Bi A, Ne Din De Jesus ","﻿Me wɔ Ɔbarima bi a, Ne din de Jesus, Ɔsombo ma me, Me bɔ Ne din daa daa, Ama amansan nyinaa ehunu sε, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I have a Man, His Name is Jesus), (He’s so dear to me), (I will always make mention of Him), (For the whole world to know that)"
59,Meda W'ase Me Nyankopɔn ,"﻿Meda W’ase me Nyankopɔn, Me da W’ase, me Yehowa, Sε W’eyi me efiri owu amona mu, Meda W’ase me Nyankopɔn, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I thank You my God), (I thank You my Lord), (For delivering me from the pit of death), (I thank You my God)"
60,Meda W'ase Wo Odo Kese A Woyii Wo Calvary ,"﻿Ɔdɔ kεse bi a Oyi wɔ Calvary, Calvary ma me, Ɔdɔ kεse bi a Oyi wɔ Calvary , Na Odii m’asεm nyinaa, Okum Nyame Eguamba, detsew me kra ho fi, Meda W’ase wɔ ɔdɔ kεse a Wo yii wɔ Calvary, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(A great love He showed on Calvary),  (A great love He showed on Calvary),  (And He pleaded my cause), (They slay the Lamb of God to take away the soul’s sin) , (I thank You for the great love You showed at Calvary)"
61,Meda W'ase ,"﻿Yεda W’ase , Yeyi W’ayε , Meda W’ase , Miyi W’ayε , εsεsε meda W’ase , εsεsε miyi W’ayε , εsεsε yεda W’ase , εsεsε yeyi W’ayε , Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(We give You thanks), (We give You praise), (I give You thanks), (I give You praise), (I ought to give You thanks), (I ought to give You praise), (We ought to give You thanks), (We ought to give You praise)"
62,Mede W'aseda Ka ,"﻿Mede W’aseda ka, M’ase a metse, Wo nkoa ne me Gyefo, Se mannda W’ase a, m’ayε otsiafo, Nyame ei, sε εbεyε yie a, efiri Woara, Nyame ei, sε metumpon a efiri Woara, Nyame ei, sε εbεyε yie a, efiri Woara, Sε mannda W’ase a, m’ayε otsiafo, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I owe You thanks), (You are my only Savior in this life I live), (If I don’t give You thanks, I would be ungrateful), (Lord, my wellbeing depends on You), (Lord, my success depends on You), (Lord, my wellbeing depends on You), (If I don’t give You thanks, I would be ungrateful)"
63,Mede W'ayeyi Rebrε Wo (Anyonyam) ,"﻿Mede w’ayeyi rebrε Wo, M’Agyenkwa pa, W’annhwε m’emfomsoɔ εne me enndi, W’ama adepa akye me biom, Mede w’ayeyi rebrε Wo, M’Agyenkwa pa, Enuonyam, Enuonyam nka Oguamba wokum No, Ma me mu ade nyinara, hyε Wo εnuonyam, εnuonyam, Enuonyam nka Oguamba wokum No, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I bring Your praise to You), (My Savior), (You did not deal with me like my sins deserve), (You let me  see the dawn of a new day), (I bring Your praise to You), (My Savior), (Glory), (Glory to the Lamb of God that was slain), (Let all that is within me, give glory to You), (Glory), (Glory to the Lamb of God that was slain)"
64,Mefiri M'akoma Mu ,"﻿Mefiri m’akoma mu na me tontom Wo, Miyi W’ayε a, na εsε Wo, Mεma Wo so, Ewuradze, Efiri sε, W’agye me firi m’atamfo nsamu, Mesu mefrε Wo na Wo tie me, sa me yarewa nyinaa, Miyi W’ayε a, na εsε Wo, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I worship You from deep within my heart), (You deserve my praise), (I will exalt You Lord), (Because You have saved me from the hands of my enemies), (I cried to You and You heard me and healed all my diseases), (You deserve my praise)"
65,Mema Meni So Akyere Mbepo ,"﻿Mema m’eni so akyerε mbepɔ, Ehenfa na me mboa firi bεba, Me mboa firi Asafo Yehowa , Ɔsoro ne asaase yεfo, CHORUS, (He never slumbers), (God never slumbers), (And He never sleeps), (I will tell my problems to God), (I will tell my problems to God), (He will listen and solve them for me) , Biribiara nni hɔ a Nyame nntumi nnyε, Ewurade otumi ade nyinaa yε, Mεka m’asεm akyerε Nyame, Ɔbε tsie na ɔbεyε ama me, CHORUS, (He never slumbers), (God never slumbers), (And He never sleeps), (I will tell my problems to God), (He will listen and solve them for me) ","(I will lift up mine eyes to the hills), (From where comes my help), (My help comes from the Lord of Hosts), (The Creator of heaven and earth), Ɔrennto nko, Nyame ɔrennto nko, Na ɔnnda da biara da, Mεka m’asεm akyerε Nyame, Mεka, mεka m’asεm akyerε Nyame, mεka O, Ɔbε tsie na ɔbεyε ama me, BRIDGE, (There is nothing the Lord can’t do), (God can do all things), (I will tell my problems to God), (He will listen and solve them for me) , Ɔrennto nko, Nyame ɔrennto nko, Na ɔnnda da biara da, Mεka m’asεm akyerε Nyame, Ɔbε tsie na ɔbεyε ama me, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"
66,Menntumi Meda W'ase (Esese Meda W'ase) ,"﻿Menntumi mennda W’ase, Wɔ ade W’ayε ama me, Menntumi mennda W’ase, Esεsε meda W’ase, Wɔ ade W’ayε ama me, Esεsε meda W’ase, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I cannot thank You enough), (For all You have done for me), (I cannot thank You enough), (I ought to give You thanks), (For all You have done for me), (I ought to give You thanks)"
67,"Menntumi Nnka Ade A Yesu Aye Ama Me, Ewurade Wo Se Ayeyi ","﻿Ɔɔε, (I cannot say all what Jesus what God has done for me), (God you are worthy of praise), (I cannot say it enough, He is worthy of praise), (I cannot say it enough, He is worthy of thanksgiving)","Menntumi nnka ade a Yesu ayε ama me, Ewurade Wo sε ayeyi, Menntumi nnka, Ɔsε ayeyi oo, Menntumi nnka Ɔsε ndaase oo, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"
68,"Metse Ase A, Metse Ma Wo ","﻿Metse ase a, metse ma Wo, Se mewu nso a, mewu ma Wo, Akwan nyinaa mu, meyε Wo de, Metse ase a, metse ma Wo, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(If I live, I live for You), (Should I die, I die for You), (In all my ways, I’m ever Yours), (If I live, I live for You)"
69,Meyi Me Nyame Ayε ,"﻿Meyi me Nyame ayε, mε kamfo No daa, N’ehumɔbrɔ tim hɔ daa, Meyi me Nyame ayε, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I will praise my God, I will adore Him forever), (His mercy endures forever), (I will praise my God)"
70,Meyi N'aye A Mebo Ne Din ,"﻿Meyi N’ayε a mεbɔ Ne din, Nyame ayε bi ama me, Meyi N’ayε a mεbɔ Ne din, Nyame ayε bi ama me, Meyi N’ayε a, Mεbɔ Ne din, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I will praise You and call out Your Name), (The Lord has done so much for me), (I will praise Him and call out His Name), (The Lord has done so much for me), (I will praise Him), (I will call out His Name)"
71,"Meyi N'aye, M'eyi Me Nyame Aye ","﻿Meyi N’aye, Mey’ me Nyame ayε, Me da N’ase, Meda me Nyame ase, Meyi me Nyame ayε, Halleluyah, (I will thank my God), Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I will praise Him, I will praise my God), (I will thank Him, I will thank My God), (I will praise my God), Meda me Nyame ase, Halleluyah"
72,Meyi Yesu Aye ,"﻿Meyi Yesu ayε, Wɔ ɔdɔ a ɔde adɔ me, W’ama adepa akye me, Meyi N’ayε daa, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I praise Jesus, for the love He has  loved me with), (He let me see the dawn of a new day, I praise Him always)"
73,Mi Jie Oyi(Moko Be) ,"﻿Mi jie Oyi, Nuntsᴐ, mi jie Oyi , Moko bɛ ni tamᴐ Bo , Yɛ nileeŋ, yɛ sumᴐ, yɛ fɛo, kɛ hewalɛ , Nuntsᴐ, moko bɛ ni tamᴐ Bo , Mikɛ mitsui baa kanfo Bo , Mikɛ migbee baa jie Oyi , Mikɛ mijwɛmo kɛ lala , Baa jie Oyi daa kɛ daa, Halleluyah, (There is no one like You) , Na Nyomɔ tsɛ ofee, nyam mantsɛ, Onine naa nitsumɔi mi jie Oyi, Omɔbɔnaa lɛ yɛ daa, Onitsumɔi bɛ naagbe, Nuntsɔ moko bɛ ni tamɔ Bo oh, Lɛɛlɛ, moko bɛ ni tamɔ Bo , Bridge, (With my heart I will exalt You), (With my voice I will praise You), (With my mind and song), (I will worship you everyday)  , Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I praise You lord, I praise You), (There is no one like You), (In Wisdom, in love, in beauty and strength), (Lord, there is no one like You), (With my heart I will praise You), (With my voice I will praise Thee), (With my mind and song), (I will worship You everyday), Moko bɛ ni tamɔ Bo  , Verse,  (Mighty God, Father of all, Glorious King), (Your handiworks praise You), (Your mercy is forever, Your works have no end) , (Father there is no one like You), (Truly, there is no one like You), Mikɛ mitsui ba kanfo Bo, Mikɛ migbee baa jie Oyi, Mikɛ mijwɛmo kɛ lala, Baa jie Oyi, daa kɛ daa, Halleluyah"
74,Misiden Me Kanfo Wo ,"﻿Misidεn me kamfo Wo, Me Nyame misidεn me kamfo Wo, Onyame W’aye bi ama me ‘o, misidԑn me kamfo Wo, Mεbɔ wo din akyerԑ aman, Me Nyame, Mεbɔ wo din akyerε aman, Onyame W’aye bi ama me ‘o, Mεbɔ wo din akyerε aman, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(How can I praise You, My God, how can I praise You)  , (God, You have done a lot for me, how can i praise You) , (I will mention your Name to the nations), (My God I will mention Your name to the nations), (God, You have done a lot for me), (I will mention your Name to the nations)"
75,Mo Mo Mo Adea W'aye Ama Me ,"﻿Ɔɔε, Menntumi nnka ade a W’ayε ama me, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","Mo mo mo mo , ade a W’ayε ama me, "
76,Mo Nda Nyame Ase Da ,"﻿Mo nda Nyame ase daa, Wɔ wiase aman nyinaa, Ɔsoma Ne Ba kor no, beyi yεn awerεhow, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Praise the Lord always), (In every part of the world), (He sent His only Son to take away our sorrows)"
77,"Mo, Mo, Mo (Yesu Ne Mogya No) ","﻿Yesu Ne mmogya no ama m’anya nkwa , Ne pira kuro no mu na m’anya ayaresa , Ne mogya ne mu na m’anya me nkwagye , Yesu wuo no agye me nkwa; Enti mema No amo , Yesu mo; Mo, mo, mo; Mo, mo, mo, Yesu Kristo mo; Mede mema No amo, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(The blood of Jesus has given me salvation), (By His stripes, I have been healed), (Through His blood I am saved), (The death of Jesus has saved me; Therefore, I will praise Him), (Jesus; You have done well), (Jesus Christ; I will say well done to Him)"
78,"Mogya Ntsi, Na Me Wɔ Nkwa ","﻿Mogya nti na me wɔ nkwa, Yesu Mogya nti na me wɔ nkwa, Mogya nti, Mogya nti na me wɔ nkwa, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Because of the blood, I have life), (Because of the blood of Jesus, I have life), (Because of the blood, I have life), "
79,Momma Yema Yesu Mo ,"﻿Moma yεma Yesu mo, , Na W’aye ade kese ama yen, Mo Yesu mo, Moma yεma Yesu mo, , Na W’ayε ade kεse ama yεn, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Give thanks to God), (For He has done great things for us), (Thank You Lord), (Give thanks to God), (For  He has done great things for us)"
80,Monhyε No Εnuonyam ,"Onni bi Adamfo pa, ayarefo wɔn Hwεfo;Abɔde me Boafo pa, na ɔdɔ me yiGyedi mu Boafo pa, nhyira nka WoJesus yε mede, Woyε m’Adamfo nwanwa ampaEnti, monhyε No εnuonyamEnuonyam Hene monhyε No εnuonyamWo sε ayeyiMonhyε No εnuonyam daaShare this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Friend of the poor, caregiver of the sick)(My helper who loves me)(Helper of my faith, I bless You)(Jesus is mine, You’re my truly wonderful friend)(So glorify Him)(Our glorious King, glorify Him)(You are worthy of praise)(Glorify Him forever)"
81,Monhyε Yesu Εnuonyam ,"Monhyε Yesu εnuonyamMonhyε no εnuonyam, Monhyε no εnuonyamEnuonyam hyε berε eduShare this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Glorify Jesus)(Glorify Him, Glorify Him)(This is the time to give glory)"
82,Monyi Nyame Ne Din Aye ,"﻿Monyi Nyame Ne din ayε, Monfa ndaase ndwom ma No, N’ehumɔbrɔ tim hɔ daa, Osi pi yε nokware daa, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Let all praise the Name of the Lord), (Let all give Him songs of thanksgiving), (For His mercies shall endure), (Ever faithful, ever sure)"
83,Monyi Yesu Kristo N'ayε ,"﻿Monyi Yesu Kristo N’ayε, Monhyira Ne din krɔnkrɔn No, W’edi owu ne asaman so, W’ahendi to renntwa daa, N’ahendi to renntwa daa, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Praise Jesus Christ), (Bless His Holy Name) , (You have truimphed over death and the grave), (Your kingdom has no end), (Your kingdom has no end)"
84,Munoshamisa ,"﻿Lord You’re my friend and I love You, Saving my soul with Your mercy,  (You are amazing) , Trials may come and dissuade me, But Your loving arms never fail me, Uya mangalisa (You are amazing), So amazing Lord, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","You are all that I need, You pour love over me,  Jesu (You are amazing Jesus), Drawing me from Your side, When I run back to You, Uya mangalisa Jesu (You are amazing Jesus), So amazing Lord to me"
85,Mε Do Wo ,"﻿Me de m’akoma nyinaa bε dɔ Wo, Wo na wo yε me kwankyerεfo, Chorus, (I’ll love You and I’ll worship You), (I will love You with all my heart), (You are the One who directs my path)","(I will love You with all my heart), (You are the One who directs my path), Mε dɔ Wo, na ma som Wo yie, Me de m’akoma nyinaa bε dɔ wo, Wo na wo yε me kwankyerefo, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"
86,N'ahendzi Firi Soro ,"﻿N’ahendzi firi soro, N’ahendzi fata No, Yesu yε Ɔhen, Ɔyε ahene mu Hene ampa, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(His kingdom is divine), (He is worthy of His kingship), (Jesus is King), (He is indeed the King of Kings)"
87,Na Wo To Onyankopon Ne Akowa Moses Ho Ndwom ,"﻿Na wɔ to Onyankopɔn N’akowa Moses ndwom , Ne Oguamba Ne ndwom sε Ewurade Nyankopɔn , Ade nyinaa so tumfo , Wo ndwuma yε kεse na εyε wanwa , Meresanten Hene W’akwan tene, Meresanten Hene, Wo ndwuma yε kεse, Meresanten Hene , W’akwan tene na εyε wanwa, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(And they sing the song of Moses, the servant of God), (The song of the Lamb of God), (Ruler over all things), (Great and marvelous are Your works),  (Everlasting King, Your ways are perfect), (Everlasting King, Your works are great and marvelous), (Everlasting King), (Your ways are perfect and marvelous) "
88,Ne A W'aye Ama Me Doo So ,"﻿Ne a W’ ayε ama me dɔɔ so, Ne a W’ayε ama me sombo, Me firi m’akoma mu ene m’ade nyinaa mu, Meka sε meda W’ase, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(What You have done for me is great)  , (What You have done for me is dear to me), (From the depths of my heart and from my entire being), (I say thank You)"
89,Ne Din Ye Kese Sen Din Biara ,"﻿Ne din yε kεse sen din biara, Ne din de Yesu, Ɔyε Ɔhene, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(His Name is bigger than any other name), (His Name is Jesus, He is the King)"
90,Nea Wo De Me Abeduru Yi ,"﻿Ne a Wo de me abeduru yi, εyε mefε dodow, Ne a W’ayε ama me yi, εboro me ntsease so, Nti me paa me nie, na W’ayε me saa yi, Ewurade, Wo ho yε hu, W’asesa me ndwom, W’asesa me hyεbrε, W’asesa me din, din a aserefo de sere me, Nti me paa me nie, na W’ayε me saa yi, Ewurade, Wo ho yε hu, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I’m amazed at how far You have brought me), (I am astounded by what You have done for me), (Is this what You have done with me), (Lord You are amazing), (You have changed my song, You have changed my destiny), (You changed my name, the name they mocked at me with), (Is this what You have done with me), (Lord You are amazing)"
